OBJECTID,name,address,longitude,latitude,type
1,上海梓阔实业有限公司,外滩街道南无锡路20号后门,121.480862,31.23855,公司企业
2,遇见小面(恒基名人购物中心店),南京东路300号恒基名人购物中心B1,121.483907,31.238193,餐饮服务
3,上海经典小吃(汉口店),福建中路盆汤弄108弄(南京东路地铁站1号口步行390米),121.480072,31.23679,餐饮服务
4,零距离家园共享空间,贵州路与天津路交叉口西北20米,121.47616,31.236074,科教文化服务
5,德哥灰指甲甲沟炎跖疣鸡眼脚气修复(人民广场店),贵州路与宁波路交叉口南40米,121.476048,31.236316,医疗保健服务
6,兴业银行24小时自助银行(黄浦支行),天津路与天津路170弄交叉口西40米,121.482759,31.238179,金融保险服务
7,老大同·善道米饮(南京东路店),江西中路306号,121.486463,31.238378,购物服务
8,寻喜(上海南京路步行街店),宁波路587弄2-7号爱民弄,121.476194,31.236326,餐饮服务
9,黄浦区的民宿(人民广场/外滩四店),江西中路与香港路交叉口西南80米,121.484214,31.24191,住宿服务
10,扬州扦脚足疗养生(宁波小区店),北京东路265号(南京东路地铁站6号口步行230米),121.484441,31.240378,生活服务
11,中华老字号(南京路步行街店),南京东路558号南京路步行街内(东侧),121.482243,31.237061,餐饮服务
12,未来人留学,上海市黄浦区山西南路350号物资大厦24楼2405-06室,121.481612,31.239505,科教文化服务
13,宠物联萌(协和里店),青岛路27号(新闸路地铁站6号口步行310米),121.470622,31.235733,购物服务
14,老上海汤包馆,南京东路558号南京路步行街内(东侧),121.483563,31.237625,餐饮服务
15,上海田甜之家特色民宿,福瑞小区(北门)(新闸路147弄),121.470546,31.238141,住宿服务
16,西藏中路-路侧停车位,新闸路地铁站6号口步行490米,121.473234,31.240021,交通设施服务
17,维也纳酒店(上海南京路步行街店),贵州路79号(近上海第一食品商店),121.476285,31.235584,住宿服务
18,张奶奶海参(南京东路店),浙江中路437号,121.477493,31.23675,医疗保健服务
19,上海华东电信研究院,北京东路668号上海科技京城G区F7层,121.477582,31.239234,科教文化服务
20,国家电网汽车充电站(上海静安区宝格丽电动汽车充电站),华侨城苏河湾东区88号院停车场,121.480811,31.242235,汽车服务
21,Dancing monkey,南苏州路933号,121.474736,31.240498,科教文化服务
22,南京路行李寄存(暂停营业),福建中路387号(南京东路地铁站1号口步行410米),121.479859,31.23693,生活服务
23,上海伊间联盟tih20071015290003公寓,河南中路与南京路步行街交叉口西北40米,121.484547,31.237734,住宿服务
24,BONI堡尼(新世界城店),南京西路2-68号新世界城F5(人民广场地铁站7号口旁),121.473256,31.234871,购物服务
25,《义勇军进行曲》首次播放处,北京东路780号黄浦剧场,121.475625,31.238451,风景名胜
26,上海哈尔滨食品厂,南京东路228号新世界大丸百货B2层,121.484961,31.238253,公司企业
27,集成实业有限公司,山西南路无锡小区(南京东路地铁站1号口步行390米),121.481095,31.239508,公司企业
28,福建馄饨王(暂停营业),南京西路与西藏中路交叉口西南80米(人民广场地铁站7号口旁),121.473775,31.234315,餐饮服务
29,福建路桥,黄浦区,121.478882,31.240281,地名地址信息
30,定兴社区,黄浦区,121.470909,31.235145,地名地址信息
31,Bunny Wonderland(衍庆里店),南苏州路955号101室(曲阜路地铁站2号口步行430米),121.47344,31.240395,餐饮服务
32,上海登巴温馨小居客栈,山西南路239号(南京东路地铁站1号口步行240米),121.481792,31.237993,住宿服务
33,全科-专科联合门诊,宁波路321号(南京东路地铁站1号口步行350米),121.481014,31.238321,医疗保健服务
34,山东北路社区,黄浦区,121.483126,31.239349,地名地址信息
35,七个串(宁波路店),宁波路240号(南京东路地铁站5号口步行240米),121.482498,31.239048,餐饮服务
36,华华理发店,牯岭路房地大厦,121.471163,31.235974,生活服务
37,凯旋电台旧址,南京东路720号上海市第一食品商店5层,121.476679,31.235536,风景名胜
38,周恩来同志发布《七月指示》所在地,贵州路160号中国饭店(现上海铁道宾馆),121.476088,31.236786,风景名胜
39,上海汉和医中医诊所有限公司,北京东路540-544号,121.479775,31.23942,医疗保健服务
40,云中社区,黄浦区,121.475638,31.236352,地名地址信息
41,咸恒广场,贵州路67号(人民广场地铁站19号口步行310米),121.476304,31.235436,风景名胜
42,上海市格致初级中学(应昌期围棋校区),天津路180号应氏大厦(南京东路地铁站1号口步行140米),121.482442,31.238002,科教文化服务
43,中国移动,南京东路558号南京路步行街(东北角),121.480118,31.237023,购物服务
44,上海外滩333酒店(南京东路地铁站店),南苏州路333号华隆大厦F3层,121.483953,31.241914,住宿服务
45,北京社区,黄浦区,121.484309,31.241767,地名地址信息
46,第一百货商业中心-无障碍洗手间,南京东路800-830号(近西藏中路)第一百货商业中心F6,121.474425,31.235957,公共设施
47,中兴建设,北苏州路790号,121.477001,31.241665,公司企业
48,小炒地锅鸡,山西南路253号(南京东路地铁站1号口步行220米),121.481765,31.238053,餐饮服务
49,乐充充电港陆黄浦中心直流汽车充电,牛庄路与六合路交叉口东北20米,121.474862,31.236946,汽车服务
50,上海鸢尾花公寓(天津路分店),南京东路558号南京路步行街,121.48301,31.23873,住宿服务
51,海一五金,北京东路432号305-5室,121.481516,31.240196,购物服务
52,郭阿姨月亮馍,宁波路201号(南京东路地铁站6口步行120米),121.483377,31.238998,餐饮服务
53,CU咖啡(人民广场店),云南北路16号(人民广场地铁站19号口步行380米),121.475358,31.236649,餐饮服务
54,老上海小吃,牛庄路641弄西南门旁,121.47714,31.237361,餐饮服务
55,晓芹海参(外滩店),浙江中路436号,121.477725,31.236629,医疗保健服务
56,上海老友记青年旅舍,长沙路雅乐居广场7楼(人民广场地铁站7号口步行260米),121.473108,31.235906,住宿服务
57,上海众市实业有限公司停车场,天津路271号(南京东路地铁站1号口步行300米),121.481228,31.23739,交通设施服务
58,华东理工大学网院新世界学习中心,天津路170弄东北侧(南京东路地铁站5号口步行130米),121.483209,31.238295,科教文化服务
59,恒基名人商业大厦地下停车场(出入口),南京东路300号恒基名人购物中心B4,121.484083,31.238298,交通设施服务
60,恒基名人商业大厦地下停车场,天津路与河南中路交叉口西南40米(南京东路地铁站5号口旁),121.484115,31.23831,交通设施服务
61,黄焖鸡米饭,牛庄路与云南北路交叉口东20米,121.475441,31.237021,餐饮服务
62,上海宏沃仪表制造有限公司上海销售处,山西南路310号(南京东路地铁站1号口步行330米),121.481493,31.238981,公司企业
63,上海花爷.公寓,南京东路558号南京路步行街,121.482238,31.240247,住宿服务
64,新世界城地下停车场(出入口),南京西路2-88号新世界城F1,121.47341,31.235531,交通设施服务
65,新世界城地下停车场(出口),南京西路2-88号新世界城F1,121.473004,31.235292,交通设施服务
66,新世界城立体停车场(入口),人民广场地铁站8号口步行170米,121.472482,31.234685,交通设施服务
67,上海环亚保险经纪有限公司,六合路98号港陆黄浦中心13层,121.475,31.236576,金融保险服务
68,上海科技京城地下停车场,福建中路与南苏州路交叉口西南40米,121.478601,31.239689,交通设施服务
69,上海科技京城地下停车场(出入口),福建中路与南苏州路交叉口西南40米,121.478624,31.239693,交通设施服务
70,上海科技京城地下停车场(出入口),浙江中路与厦门路交叉口东南80米,121.477043,31.239272,交通设施服务
71,美珍香(新世界城店),南京西路2-68号南楼B1FA-3室,121.473584,31.234382,餐饮服务
72,山东水饺王(贵州路店),贵州路131弄4-16号后逢吉里,121.476123,31.236061,餐饮服务
73,注册公司代理记帐,浙江中路398号春申江大厦509B室,121.478157,31.236288,公司企业
74,汉庭酒店(南京路步行街店),香粉弄30号,121.479609,31.236386,住宿服务
75,上海外滩璞硯酒店,北京东路398号(南京东路地铁站6号口步行350米),121.482303,31.240459,住宿服务
